Myrtle Willoughby Aves,Bedford Nostrand Aves
Bedford Nostrand Aves,Classon Ave
Classon Ave,Clinton Washington Ave (G)
Clinton Washington Ave (G),Fulton St (G)
Fulton St (G),Hoyt Schermerhorn
Hoyt Schermerhorn,Bergen St
Bergen St,Carroll St
Carroll St,Smith 9th Sts
Smith 9th Sts,4th Ave 9th St
4th Ave 9th St,7th Ave (FB)
7th Ave (FB),15th St Prospect Park
15th St Prospect Park,Fort Hamilton Pkwy
Fort Hamilton Pkwy,Church Ave (F)
14th St (A),6th Ave (L)
6th Ave (L),14th St - Union Sq
14th St - Union Sq,3rd Ave
3rd Ave,1st Ave
1st Ave,Bedford Ave
Bedford Ave,Lorimer St
Lorimer St,Graham Ave
Graham Ave,Grand St
Grand St,Montrose Ave
Montrose Ave,Morgan Ave
Morgan Ave,Jefferson St
Jefferson St,DeKalb Ave (L)
DeKalb Ave (L),Myrtle - Wyckoff Aves
Myrtle - Wyckoff Aves,Halsey St (L)
Halsey St (L),Wilson Ave
Wilson Ave,Bushwick Ave - Aberdeen St
Bushwick Ave - Aberdeen St,Broadway Junction
Broadway Junction,Atlantic Ave
Atlantic Ave,Sutter Ave
Sutter Ave,Livonia Ave
Livonia Ave,New Lots Ave
New Lots Ave,East 105th St
East 105th St,Canarsie - Rockaway Pkwy
Jamaica Ctr - Parsons / Archer,Sutphin Blvd - Archer Av
Sutphin Blvd - Archer Av,121st St
121st St,111th St (J)
111th St (J),104th St (J)
104th St (J),Woodhaven Blvd
Woodhaven Blvd,85th St Forest Parkway
85th St Forest Parkway,75th St - Elderts Lane
75th St - Elderts Lane,Cypress Hills
Cypress Hills,Crescent St
Crescent St,Norwood Ave
Norwood Ave,Cleveland St
Cleveland St,Van Siclen Ave (J)
Van Siclen Ave (J),Alabama Ave
Alabama Ave,Broadway Junction
Broadway Junction,Chauncey St
Chauncey St,Halsey St
Halsey St,Gates Ave
Gates Ave,Koscuiszko St
Koscuiszko St,Myrtle Ave
Myrtle Ave,Flushing Ave (J)
Flushing Ave (J),Lorimer St
Lorimer St,Hewes St
Hewes St,Marcy Ave
Marcy Ave,Delancey St Essex St
Delancey St Essex St,Bowery
Bowery,Canal St (6)
Canal St (6),Chambers St (J)
Chambers St (J),Fulton St
Fulton St,Broad St
Forest Hills - 71st Av,67th Ave
67th Ave,63 Dr - Rego Park
63 Dr - Rego Park,Woodhaven Blvd (M)
Woodhaven Blvd (M),Grand Ave Newtown
Grand Ave Newtown,Elmhurst Ave
Elmhurst Ave,Jackson Hts - Roosevelt Av
Jackson Hts - Roosevelt Av,65th St
65th St,Northern Blvd
Northern Blvd,46th St
46th St,Steinway St
Steinway St,36th St (M)
36th St (M),Queens Plz
Queens Plz,Court Sq - 23rd St
Court Sq - 23rd St,Lexington Ave - 53rd St
Lexington Ave - 53rd St,5th Ave 53rd St
5th Ave 53rd St,47th-50th Sts - Rockefeller Ctr
47th-50th Sts - Rockefeller Ctr,42nd Bryant Pk
42nd Bryant Pk,Herald Sq - 34th St
Herald Sq - 34th St,23rd St
23rd St,14th St (F)
14th St (F),W 4th St - Washington Sq
W 4th St - Washington Sq,Broadway - Lafayette St
Broadway - Lafayette St,Delancey St Essex St
Delancey St Essex St,Marcy Ave
Marcy Ave,Hewes St
Hewes St,Lorimer St
Lorimer St,Flushing Ave (J)
Flushing Ave (J),Myrtle Ave
Myrtle Ave,Central Ave
Central Ave,Knickerbocker Ave
Knickerbocker Ave,Myrtle - Wyckoff Aves
Myrtle - Wyckoff Aves,Seneca Ave
Seneca Ave,Forest Ave
Forest Ave,Fresh Pond Rd
Fresh Pond Rd,Middle Village - Metropolitan Ave
Astoria-Ditmars Blvd,Astoria Blvd
Astoria Blvd,30th Ave
30th Ave,Broadway (N)
Broadway (N),36th Ave
36th Ave,39th Ave
39th Ave,Queensboro Plaza
Queensboro Plaza,Lexington Ave 59th St
Lexington Ave 59th St,5th Ave 59th St
5th Ave 59th St,57th St - 7th Ave
57th St - 7th Ave,49th St
49th St,Times Sq - 42nd St
Times Sq - 42nd St,Herald Sq - 34th St
Herald Sq - 34th St,14th St - Union Sq
14th St - Union Sq,Canal St (6)
Canal St (6),Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,36th St (N)
36th St (N),59th St
59th St,8th Ave
8th Ave,Fort Hamilton Pkwy
Fort Hamilton Pkwy,New Utrecht Ave
New Utrecht Ave,18th Ave
18th Ave,20th Ave (N)
20th Ave (N),Kings Hwy (N)
Kings Hwy (N),Ave U (N)
Ave U (N),86th St (N)
86th St (N),Coney Island - Stillwell Av
96th St (Q),86th St (Q)
86th St (Q),72nd St (Q)
72nd St (Q),Lexington Ave - 63rd St
Lexington Ave - 63rd St,57th St - 7th Ave
57th St - 7th Ave,Times Sq - 42nd St
Times Sq - 42nd St,Herald Sq - 34th St
Herald Sq - 34th St,14th St - Union Sq
14th St - Union Sq,Canal St (6)
Canal St (6),DeKalb Ave
DeKalb Ave,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,7th Ave (BB)
7th Ave (BB),Prospect Park
Prospect Park,Parkside Ave
Parkside Ave,Church Ave (B)
Church Ave (B),Beverly Road
Beverly Road,Cortelyou Rd
Cortelyou Rd,Newkirk Plaza
Newkirk Plaza,Ave H
Ave H,Ave J
Ave J,Ave M
Ave M,Kings Hwy (B)
Kings Hwy (B),Ave U (Q)
Ave U (Q),Neck Rd
Neck Rd,Sheepshead Bay
Sheepshead Bay,Brighton Beach
Brighton Beach,Ocean Pkwy
Ocean Pkwy,West 8th St - NY Aquarium
West 8th St - NY Aquarium,Coney Island - Stillwell Av
Forest Hills - 71st Av,67th Ave
67th Ave,63 Dr - Rego Park
63 Dr - Rego Park,Woodhaven Blvd (M)
Woodhaven Blvd (M),Grand Ave Newtown
Grand Ave Newtown,Elmhurst Ave
Elmhurst Ave,Jackson Hts - Roosevelt Av
Jackson Hts - Roosevelt Av,65th St
65th St,Northern Blvd
Northern Blvd,46th St
46th St,Steinway St
Steinway St,36th St (M)
36th St (M),Queens Plz
Queens Plz,Lexington Ave 59th St
Lexington Ave 59th St,5th Ave 59th St
5th Ave 59th St,57th St - 7th Ave
57th St - 7th Ave,49th St
49th St,Times Sq - 42nd St
Times Sq - 42nd St,Herald Sq - 34th St
Herald Sq - 34th St,28th St (R)
28th St (R),23rd St (R)
23rd St (R),14th St - Union Sq
14th St - Union Sq,8th St - NYU
8th St - NYU,Prince St
Prince St,Canal St (6)
Canal St (6),City Hall
City Hall,Cortlandt St
Cortlandt St,Rector St (R)
Rector St (R),Whitehall St - South Ferry
Whitehall St - South Ferry,Court Sq (R)
Court Sq (R),Jay St - MetroTech
Jay St - MetroTech,DeKalb Ave
DeKalb Ave,Atlantic Av - Barclay's Center
Atlantic Av - Barclay's Center,Union St
Union St,Prospect Ave
Prospect Ave,25th St
25th St,36th St (D)
36th St (D),45th St
45th St,53rd St
53rd St,59th St
59th St,Bay Ridge Ave
Bay Ridge Ave,77th St
77th St,86th St (R)
86th St (R),Bay Ridge 95th St
Grand Central - 42nd St,Times Sq - 42nd St
Park Place,Franklin Ave
Park Place,Botanic Garden
Botanic Garden,Prospect Park
Rockaway Park - Beach 116 St,Beach 105th St
Beach 105th St,Beach 98th St
Beach 98th St,Beach 90th St
Beach 90th St,Broad Channel
Astoria-Ditmars Blvd,Astoria Blvd
Astoria Blvd,30th Ave
30th Ave,Broadway
Broadway,36th Ave
36th Ave,39th Ave
39th Ave,Queensboro Plaza
Queensboro Plaza,Lexington Ave 59th St
Lexington Ave 59th St,5th Ave 59th St
5th Ave 59th St,57th St - 7th Ave
57th St - 7th Ave,49th St
49th St,Times Sq - 42nd St
Times Sq - 42nd St,Herald Sq - 34th St
Herald Sq - 34th St,28th St (R)
28th St (R),23rd St (R)
23rd St (R),14th St - Union Sq
14th St - Union Sq,8th St - NYU
8th St - NYU,Prince St
Prince St,Canal St (6)
Canal St (6),City Hall
City Hall,Cortlandt St
Cortlandt St,Rector St (R)
Rector St (R),Whitehall St - South Ferry
Jamaica Ctr - Parsons / Archer,Sutphin Blvd - Archer Av
Sutphin Blvd - Archer Av,121st St
121st St,111th St (J)
111th St (J),104th St (J)
104th St (J),Woodhaven Blvd
Woodhaven Blvd,85th St Forest Parkway
85th St Forest Parkway,75th St - Elderts Lane
75th St - Elderts Lane,Cypress Hills
Cypress Hills,Crescent St
Crescent St,Cleveland St
Cleveland St,Alabama Ave
Alabama Ave,Broadway Junction
Broadway Junction,Myrtle Ave
Myrtle Ave,Flushing Ave (J)
Flushing Ave (J),Lorimer St
Lorimer St,Hewes St
Hewes St,Marcy Ave
Marcy Ave,Delancey St Essex St
Delancey St Essex St,Bowery
Bowery,Canal St (6)
Canal St (6),Chambers St (J)
Chambers St (J),Fulton St
Fulton St,Broad St
